1	2	3	4	5	6	7	8	PapBSCn2Kr02	PapBSCn1Kr02	PapBSCn1Ms17	PapBSCn3Ms17	PapBSCn2Ms17	PapBSCn3Kr02	PapBSSc1Mer5	PapBSAp1Mer1	PapBSXt1Mer2	PapBSAp1Mer2	PapBSAp1Mer5	PapBSXt2Mer1	PapBSSc1Mer1	PapBSSc1Mer2	PapBSXt1Mer5	
Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Candidatus Portiera		New.CleanUp.ReferenceOTU182	0	0	1	1	1	2	3	0	0	0	0	0	0	5	0	
Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae			New.CleanUp.ReferenceOTU183	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	
Bacteria	Proteobacteria	Gammaproteobacteria	HTCC2188	HTCC2089			New.CleanUp.ReferenceOTU185	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	
Bacteria	Chloroflexi	SAR202					New.CleanUp.ReferenceOTU190	0	0	0	0	0	0	0	2	14	3	5	13	0	0	2	
Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales				New.CleanUp.ReferenceOTU191	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	
Unassigned							New.CleanUp.ReferenceOTU193	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	
Bacteria	Chloroflexi	SAR202					New.CleanUp.ReferenceOTU196	0	0	0	0	0	0	0	6	15	8	3	7	0	0	2	
Bacteria	Acidobacteria	Acidobacteria-6	BPC015				New.CleanUp.ReferenceOTU198	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae			New.CleanUp.ReferenceOTU202	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	
Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales				New.CleanUp.ReferenceOTU203	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	
Bacteria	Chloroflexi	SAR202					New.CleanUp.ReferenceOTU206	0	0	0	0	0	0	0	0	4	5	5	2	0	0	1	
Bacteria	Chloroflexi	SAR202					New.CleanUp.ReferenceOTU211	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	
Bacteria	Proteobacteria	Alphaproteobacteria					New.CleanUp.ReferenceOTU216	0	0	0	0	1	0	0	0	0	0	0	0	2	1	0	
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas		New.CleanUp.ReferenceOTU217	0	0	2	2	1	0	0	0	0	0	0	0	0	0	0	
Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae			New.CleanUp.ReferenceOTU221	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	
Bacteria	Chloroflexi	Anaerolineae	SBR1031	A4b			New.CleanUp.ReferenceOTU222	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	
Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae			New.CleanUp.ReferenceOTU223	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	
Bacteria	Proteobacteria	Alphaproteobacteria					New.CleanUp.ReferenceOTU224	0	0	0	4	5	0	0	0	0	0	0	0	0	0	0	
Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae			New.CleanUp.ReferenceOTU226	0	0	0	1	3	1	0	0	0	1	0	0	6	0	0	
