1	2	3	4	5	6	7	8	anser6	anser4	anser1	anser3	anser8	anser5	anser9	anser7	anser2	
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae			342325	0	0	0	0	0	0	2	0	0	
Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Planomicrobium		138254	0	0	0	0	2	0	23	0	0	
Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae			628226	0	0	2	0	0	0	0	0	0	
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas		350105	12	42	10	0	23	9	0	0	0	
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia		131571	0	0	0	0	40	0	3	12	0	
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas		106985	1	0	0	0	1	0	0	0	0	
Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Dermabacteraceae	Brachybacterium		882018	0	0	0	0	4	0	29	0	0	
Bacteria	Firmicutes	Clostridia	Clostridiales				461487	0	0	0	0	0	0	2	0	0	
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae			365810	0	0	0	0	0	0	2	4	0	
Bacteria	Cyanobacteria	Chloroplast	Streptophyta				35330	0	0	0	0	0	0	6	0	0	
Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Brochothrix		1121955	0	3	0	0	1	0	0	0	0	
Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae			538247	0	0	1	0	1	0	1	0	0	
Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae			343090	0	0	0	0	0	0	0	0	19	
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	cohnii	238051	1	1	0	0	0	0	0	0	0	
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas		280459	82	168	29	2	44	9	0	0	0	
Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium		545324	3	0	0	0	0	2	0	0	0	
Bacteria	Firmicutes	Erysipelotrichi	Erysipelotrichales	Erysipelotrichaceae	[Eubacterium]		1131759	0	0	0	0	71	0	5	7	0	
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	cereus	805055	1	2	0	0	0	0	0	0	0	
Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Leuconostoc		299516	2	9	2	0	2	0	0	0	0	
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides		571458	0	0	0	0	22	0	481	2	0	
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira		533847	0	0	0	1	104	0	30	53	0	
Bacteria	Firmicutes	Clostridia	Clostridiales				189407	0	0	2	0	0	0	0	0	0	
Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus		316587	2	0	0	0	0	0	0	0	29	
Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae			3936243	0	0	0	0	0	2	0	0	0	
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae			355695	2	0	0	0	0	2	0	0	0	
Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio		30569	0	0	0	0	1	0	2	0	0	
Bacteria	Firmicutes	Clostridia	Clostridiales				1110312	0	0	0	0	0	0	2	0	0	
Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Planococcus	maitriensis	540737	0	0	0	0	0	0	6	0	0	
Bacteria	Firmicutes	Clostridia	Clostridiales				587041	0	0	0	0	8	0	4	7	0	
Bacteria	Firmicutes	Clostridia	Clostridiales				761968	0	0	0	0	3	0	11	1	0	
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus		847728	0	0	0	0	0	0	5	1	0	
Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium		4452634	0	0	0	3	0	0	0	0	1	
Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Gallibacterium		4430845	0	0	8	0	0	0	0	0	0	
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides		4379411	0	0	0	0	0	0	1	1	0	
Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae			1768385	0	0	0	2	0	0	0	0	0	
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae			80664	37	30	13	0	7	26	16	0	0	
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	horikoshii	593219	2	0	1	1	0	1	0	0	0	
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides		2612863	0	0	0	0	1	0	1	11	0	
Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Lysinibacillus	boronitolerans	1084045	27	16	3	0	2	12	0	0	0	
Bacteria	Firmicutes	Clostridia	Clostridiales				295861	0	0	0	0	0	0	3	0	0	
Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae			359750	0	0	1	0	0	0	1	0	742	
Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	cecorum	17976	0	0	0	0	0	0	0	0	215	
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Comamonas		558170	2	0	0	0	1	0	0	0	0	
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella		4370491	0	0	0	0	0	0	8	10	0	
Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae			261590	0	0	1	1	0	0	0	0	0	
Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Planomicrobium		142309	1	0	0	0	0	2	1	0	0	
Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae			4375710	0	0	1	0	1	0	0	0	0	
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira		212686	0	0	0	0	0	0	4	3	0	
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella		4388948	0	0	0	0	0	0	0	4	0	
Bacteria	Firmicutes	Erysipelotrichi	Erysipelotrichales	Erysipelotrichaceae	Coprobacillus		369763	0	0	0	0	6	0	2	8	1	
Bacteria	Cyanobacteria	Oscillatoriophycideae	Oscillatoriales	Phormidiaceae	Phormidium		208315	0	1	1	0	0	0	0	0	0	
Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae			370190	0	0	1	5	8	0	3	0	0	
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Sutterella		158415	0	0	0	0	1	0	0	1	0	
